wylie,translations
bag chags,привычные тенденции; кармические отпечатки
bag la nyal,скрытые тенденции; скрытая склонность
bag med,неосознанность
bag yod,осознанность
bar do,бардо; промежуточное состояние
bar do ba,"существа бардо; существа, находящиеся в промежуточном состоянии"
bdag,атман; истинно существующее я
bdag dang bdag gir ‘dzin pa,цепляние за я и мое
bdag med,"отсутсвие истинно существующего я, самосущего существования"
bdag nyid,сущность; существо
bdag tu ‘dzin pa,цепляние за свое я
bde [ba],блаженство; счастье
blo,ум; разум; интеллект
brtags min gyi ‘gog pa,прекращение вследствие различения
brtson ‘grus,усердие
bsam gtan,медитативное погружение
bsam pa,стремление; мысль
bsgom pa,медитация
bsgrub pa,практика; достижение; практиковать; достигать; устанавливать; создавать
bsod nams,заслуги
byams pa,любовь
byang [chub kyi] sems,бодхичитта; стремление к пробуждению
byang [chub] sems [dpa‘],бодхисаттва
byang chub,пробуждение; бодхи
byis pa,дитя
bzung ba,объект восприятия; постижения; воспринимаемое; постигаемое
chad [pa‘i] lta [ba],воззрение нигилизма
chags pa,привязанность; страсть
chos,Дхарма; учение; явление; феномен; качество
chos [kyi] dbyings,дхармадхату; сфера явлений
chos mngon,абхидхарма; буддийская онтология?
chos nyid,дхармата; природа всех явлений
chos sku,дхармакая; тело дхармы
dad pa,вера
dag pa,чистота; чистый; очищать
dben pa,"опустошение (опустошение тела, речи и ума); изоляция; уединенное место"
dbu ma pa,dbu ma pa - мадхьямика - последователь школы срединного воззрения; dbu ma - мадхьямака - школа срединного возрения
de bzhin gshegs pa,Татхагата; Так ушедший
de kho na [nyid],таковость
de nyid,природа явлений
dge ba,добродетель; благо; заслуга
dge ba‘i bshes gnyen,кальянамитра; благой друг; наставник; духовный друг
dgra bcom pa,архат; победивший врага
dmigs pa,объект; визуализация; сосредотачивать ум
dngos po,вещь; реальное существование; существующее
dngos sgrub,достижение
don dam,высший; абсолютный
dran pa,памятование; внимание
gang zag,личность; индивид
gnas lugs,естественное состояние (дзогчен); истинное положение вещей; способ пребывания
gnyis [su] med [pa],недвойственность; неразделимость
gsal ba,ясный; ясность; частность; частный случай
gti mug,неведение; заблуждние; сонливость
gtso bo,главный; предводитель; прадхана - основной принцип
gzhan dbang,зависимость; зависимые являение; находиться под властью; во власти
gzhi,основа
gzugs,форма; материальное; материя
ji snyed pa,относительное
khams,элемент; мир; сфера мира; область в восточном Тибете
khro ba,гнев; неприятие
klu,нага
kun rdzob pa‘i bden pa,относительная истина
kun slong,мотивация; правильный настрой; намерение
lam,путь; стезя
las,карма; действие; объект действия (грамм.)
log rtog,ложное постижение
lta ba,воззрение
ma rig pa,неведение
med pa,отсутвие; несуществующее; несуществование
mi dge ba,недобродетель; недобродетельное
mi rigs,нация; народность; неподходящее; неподобающее
mi rtag pa,непостоянство; непостоянное
mi ‘thse ba,непричинение вреда; ахимса
mngon par zhen pa,сильная привязанность
mngon rtog,"mngon rtogs - постижение, ясное постижение, садхана, руководство по медитации"
